,_id,article_title,article_url,authors,categories,comment_count,created_time,main_category,message,post_id,reactions,tags,message_sentiment,article_title_sentiment
0,{u'$oid': u'58bd41d59ff1026d58d7f05f'},SpaceX to send two people around the moon who paid for a 2018 private mission,https://www.theguardian.com/science/2017/feb/27/spacex-moon-private-mission-2018-elon-musk?CMP=fb_gu,[Alan Yuhas],"[spacex, home, science]",104,2017-02-27T22:31:58+0000,science,"SpaceX CEO Elon Musk declined to name the two people or what they had paid, though he said the ""private citizens"" know each other and are “very serious” about the flight.",10513336322_10155128653556323,"{u'love': 45, u'like': 862, u'total_count': 996, u'angry': 3, u'haha': 8, u'sad': 1, u'thankful': 0, u'wow': 77}","[SpaceX, Space, Elon Musk, The moon, news]",0.0,0.0
1,{u'$oid': u'58bd41d59ff1026d58d7f060'},Scraping by on six figures? Tech workers feel poor in Silicon Valley's wealth bubble,https://www.theguardian.com/technology/2017/feb/27/silicon-aa-cost-of-living-crisis-has-americas-highest-paid-feeling-poor?CMP=fb_gu,[Olivia Solon],"[home, technology, tech, silicon valley]",554,2017-02-27T20:00:00+0000,technology,"“I didn’t become a software engineer to be trying to make ends meet,” said a Twitter employee in his early 40s who earns a base salary of $160,000. It is, he added, a “pretty bad” income for raising a family in the Bay Area.",10513336322_10155127973331323,"{u'love': 14, u'like': 1195, u'total_count': 2293, u'angry': 85, u'haha': 478, u'sad': 85, u'thankful': 0, u'wow': 436}","[Silicon Valley, San Francisco, California, features]",0.0,0.0129
2,{u'$oid': u'58bd41d59ff1026d58d7f061'},'Angry white men': the sociologist who studied Trump's base before Trump,https://www.theguardian.com/world/2017/feb/27/michael-kimmel-masculinity-far-right-angry-white-men?CMP=fb_gu,[],"[home, gender, world]",150,2017-02-27T19:40:00+0000,world,"During the Obama years, various commentators made wild predictions about the death of the white male as a politically relevant demographic. Then came Trump, propelled to power by a wave of angry white men.",10513336322_10155127887546323,"{u'love': 14, u'like': 1170, u'total_count': 1509, u'angry': 166, u'haha': 21, u'sad': 105, u'thankful': 0, u'wow': 33}","[Gender, The far right, Donald Trump, features]",-0.555,-0.5106
3,{u'$oid': u'58bd41d59ff1026d58d7f062'},Donald Trump's first budget: big hike for defense spending as most agencies cut,https://www.theguardian.com/us-news/2017/feb/27/trumps-budget-54-billion-increase-defense-spending?CMP=fb_gu,[David Smith],"[trump administration, home, us news, us, world]",225,2017-02-27T19:20:01+0000,us-news,The Pentagon will see an increase of approximately 10%.,10513336322_10155127755256323,"{u'love': 11, u'like': 319, u'total_count': 1163, u'angry': 649, u'haha': 26, u'sad': 121, u'thankful': 0, u'wow': 37}","[Trump administration, US national security, US military, US politics, Donald Trump, news]",0.3182,-0.2212
4,{u'$oid': u'58bd41d59ff1026d58d7f063'},'Miracle' baby born in tree during Mozambique floods to turn 17,https://www.theguardian.com/world/2017/feb/27/miracle-baby-born-tree-mozambique-floods-turns-17?CMP=fb_gu,[],"[home, mozambique, africa, world]",22,2017-02-27T19:00:16+0000,world,"Rosita Mabuiango’s birth in a tree above swirling waters 17 years ago thrust her into instant stardom, drawing global attention to the worst floods to hit Mozambique in recent memory.",10513336322_10155127483691323,"{u'love': 91, u'like': 522, u'total_count': 645, u'angry': 0, u'haha': 1, u'sad': 1, u'thankful': 0, u'wow': 30}","[Mozambique, Africa, Humanitarian response, Aid, news]",-0.6249,0.0
5,{u'$oid': u'58bd41d59ff1026d58d7f064'},Wrongbestfilmgate was a moment of pure chaos – my night of shocks at the Oscars,https://www.theguardian.com/film/2017/feb/27/wrongbestfilmgate-was-a-moment-of-pure-chaos-my-night-of-shocks-at-the-oscars?CMP=fb_gu,[Peter Bradshaw],"[oscars 2017, home, film, culture]",81,2017-02-27T18:40:01+0000,film,"""Everyone I spoke to afterwards had a shocked, dazed, almost PTSD-ish memory-fragmentation when it came to the moment of disaster.""",10513336322_10155127697501323,"{u'love': 6, u'like': 179, u'total_count': 215, u'angry': 1, u'haha': 29, u'sad': 0, u'thankful': 0, u'wow': 0}","[Oscars 2017, Oscars, Awards and prizes, features]",-0.4588,-0.743
6,{u'$oid': u'58bd41d59ff1026d58d7f065'},Bill Paxton obituary,https://www.theguardian.com/film/2017/feb/27/bill-paxton-obituary?CMP=fb_gu,[Ryan Gilbey],"[home, us television, film, culture]",17,2017-02-27T18:20:00+0000,film,"""Stocky, with a knack for conveying bareknuckle vitality as well as a more considered intelligence and tenderness, he cropped up initially in some of the sparkiest pulp films of the 1980s.""",10513336322_10155127690156323,"{u'love': 18, u'like': 283, u'total_count': 392, u'angry': 0, u'haha': 0, u'sad': 91, u'thankful': 0, u'wow': 0}","[Film, Television, Kathryn Bigelow, Texas, James Cameron, obituaries]",0.8617,0.0
7,{u'$oid': u'58bd41d59ff1026d58d7f066'},"After the divisive Democratic National Committee chair election, what's next?",https://www.theguardian.com/commentisfree/2017/feb/27/democratic-national-committee-election-tom-perez-keith-ellison?CMP=fb_gu,"[Jill Abramson, Kate Aronoff, Daniel José Camacho]","[home, democrats, opinion]",43,2017-02-27T18:00:05+0000,commentisfree,"Our panel responds: ""Resistance will have to continue against the Democratic establishment"".",10513336322_10155127524526323,"{u'love': 2, u'like': 91, u'total_count': 105, u'angry': 3, u'haha': 4, u'sad': 2, u'thankful': 0, u'wow': 3}","[Democrats, Opinion, US politics, comment]",0.0,0.0
8,{u'$oid': u'58bd41d59ff1026d58d7f067'},The sad cost of renting: never having somewhere to call home,https://www.theguardian.com/commentisfree/2017/feb/26/the-sad-cost-of-renting-never-having-somewhere-to-call-home?CMP=fb_gu,[Rebecca Nicholson],"[home, housing, opinion]",132,2017-02-27T17:40:00+0000,commentisfree,"""Any furniture I've had to buy is portable or foldable, or both.""",10513336322_10155127116576323,"{u'love': 6, u'like': 921, u'total_count': 1208, u'angry': 36, u'haha': 6, u'sad': 231, u'thankful': 0, u'wow': 8}","[Housing, Opinion, Communities, Social housing, Renting property, Property, comment]",0.0,-0.4767
9,{u'$oid': u'58bd41d59ff1026d58d7f068'},Waterstones chief defends decision to open unbranded stores,https://www.theguardian.com/books/2017/feb/27/waterstones-chief-defends-decision-to-open-unbranded-stores?CMP=fb_gu,[Matthew Taylor],"[home, books, waterstones, culture]",161,2017-02-27T17:20:00+0000,books,"“To call themselves Southwold Books is a bit naughty. Locals know what the shop is, but visitors don’t.”",10513336322_10155127700301323,"{u'love': 4, u'like': 339, u'total_count': 540, u'angry': 115, u'haha': 21, u'sad': 7, u'thankful': 0, u'wow': 54}","[Waterstones, Booksellers, Retail industry, news]",0.0,0.0
